Dataset Name,Image Name,Characteristics [Organism],Term Source 1 REF,Term Source 1 Accession,Characteristics [Cell Line],Protocol,Experimental Condition [Imaging Type],Comment [Gene Identifier] 1,Comment [Gene Symbol] 1,Comment [Gene Identifier] 2,Comment [Gene Symbol] 2,Comment [Genetic Background],Comment [Genetic Background Identifier],Comment [Gene Annotation Comments],Comment [Image File Path],Comment [Image File Type],Channels,Comment [Experimental Conclusion]
Figure 1B,1B_010618_Hsp104Htb1_Meiosis_01_47_R3D_D3D.dv,Saccharomyces cerevisiae,NCBITaxon,4932,SK1,"Growth - SPO, 30C",Live cell imaging,YLL026W,Hsp104,YDR224C,Htb1,flo8Δ,YER109C,SGD,/Figure 1/Figure 1B,Deconvolved,"FITC = Hsp104-eGFP, mCherry = Htb1-mCherry",Protein aggregates in aged cells are sequestered away from chromosomes during anaphase II and are subsequently eliminated.
Figure 1B,1B_010618_Hsp104Htb1_Meiosis_01_47_R3D.dv,Saccharomyces cerevisiae,NCBITaxon,4932,SK1,"Growth - SPO, 30C",Live cell imaging,YLL026W,Hsp104,YDR224C,Htb1,flo8Δ,YER109C,SGD,/Figure 1/Figure 1B,Raw,"FITC = Hsp104-eGFP, mCherry = Htb1-mCherry",Protein aggregates in aged cells are sequestered away from chromosomes during anaphase II and are subsequently eliminated.
Figure 1B,1B_MAX_010618_Hsp104Htb1_Meiosis_01_47_zproj_R3D_D3D.tif,Saccharomyces cerevisiae,NCBITaxon,4932,SK1,"Growth - SPO, 30C",Live cell imaging,YLL026W,Hsp104,YDR224C,Htb1,flo8Δ,YER109C,SGD,/Figure 1/Figure 1B,Deconvolved z-projected,"FITC = Hsp104-eGFP, mCherry = Htb1-mCherry",Protein aggregates in aged cells are sequestered away from chromosomes during anaphase II and are subsequently eliminated.
Figure 1B,1B_010618_Hsp104Htb1_Meiosis_01_47_R3D_REF.dv,Saccharomyces cerevisiae,NCBITaxon,4932,SK1,"Growth - SPO, 30C",Live cell imaging,YLL026W,Hsp104,YDR224C,Htb1,flo8Δ,YER109C,SGD,/Figure 1/Figure 1B,Reference,Bright-field,Protein aggregates in aged cells are sequestered away from chromosomes during anaphase II and are subsequently eliminated.
Figure 1B,1B_12052017_Hsp104Htb1meiosis01_06_R3D_D3D.dv,Saccharomyces cerevisiae,NCBITaxon,4932,SK1,"Growth - SPO, 30C",Live cell imaging,YLL026W,Hsp104,YDR224C,Htb1,flo8Δ,YER109C,SGD,/Figure 1/Figure 1B,Deconvolved,"FITC = Hsp104-eGFP, mCherry = Htb1-mCherry",Protein aggregates in aged cells are sequestered away from chromosomes during anaphase II and are subsequently eliminated.
Figure 1B,1B_12052017_Hsp104Htb1meiosis01_06_R3D.dv,Saccharomyces cerevisiae,NCBITaxon,4932,SK1,"Growth - SPO, 30C",Live cell imaging,YLL026W,Hsp104,YDR224C,Htb1,flo8Δ,YER109C,SGD,/Figure 1/Figure 1B,Raw,"FITC = Hsp104-eGFP, mCherry = Htb1-mCherry",Protein aggregates in aged cells are sequestered away from chromosomes during anaphase II and are subsequently eliminated.
Figure 1B,1B_MAX_12052017_Hsp104Htb1meiosis01_06_zproj_R3D_D3D.tif,Saccharomyces cerevisiae,NCBITaxon,4932,SK1,"Growth - SPO, 30C",Live cell imaging,YLL026W,Hsp104,YDR224C,Htb1,flo8Δ,YER109C,SGD,/Figure 1/Figure 1B,Deconvolved z-projected,"FITC = Hsp104-eGFP, mCherry = Htb1-mCherry",Protein aggregates in aged cells are sequestered away from chromosomes during anaphase II and are subsequently eliminated.
Figure 1B,1B_12052017_Hsp104Htb1meiosis01_06_R3D_REF.dv,Saccharomyces cerevisiae,NCBITaxon,4932,SK1,"Growth - SPO, 30C",Live cell imaging,YLL026W,Hsp104,YDR224C,Htb1,flo8Δ,YER109C,SGD,/Figure 1/Figure 1B,Reference,Bright-field,Protein aggregates in aged cells are sequestered away from chromosomes during anaphase II and are subsequently eliminated.
Figure 1C,1C_18072018_Hta1_rDNAteto_TetR_Meiosis_01_03_R3D_D3D.dv,Saccharomyces cerevisiae,NCBITaxon,4932,SK1,"Growth - SPO, 30C",Live cell imaging,,TetR,YDR225W,Hta1,flo8Δ,YER109C,SGD,/Figure 1/Figure 1C,Deconvolved,"FITC = TetR-GFP, mCherry = Hta1-mApple",rDNA circles in aged cells are sequestered away from chromosomes during anaphase II and are subsequently eliminated.
Figure 1C,1C_18072018_Hta1_rDNAteto_TetR_Meiosis_01_03_R3D.dv,Saccharomyces cerevisiae,NCBITaxon,4932,SK1,"Growth - SPO, 30C",Live cell imaging,,TetR,YDR225W,Hta1,flo8Δ,YER109C,SGD,/Figure 1/Figure 1C,Raw,"FITC = TetR-GFP, mCherry = Hta1-mApple",rDNA circles in aged cells are sequestered away from chromosomes during anaphase II and are subsequently eliminated.
Figure 1C,1C_18072018_Hta1_rDNAteto_TetR_Meiosis_01_03_R3D_D3D_zproj.tif,Saccharomyces cerevisiae,NCBITaxon,4932,SK1,"Growth - SPO, 30C",Live cell imaging,,TetR,YDR225W,Hta1,flo8Δ,YER109C,SGD,/Figure 1/Figure 1C,Deconvolved z-projected,"FITC = TetR-GFP, mCherry = Hta1-mApple",rDNA circles in aged cells are sequestered away from chromosomes during anaphase II and are subsequently eliminated.
Figure 1C,1C_18072018_Hta1_rDNAteto_TetR_Meiosis_01_03_R3D_REF.dv,Saccharomyces cerevisiae,NCBITaxon,4932,SK1,"Growth - SPO, 30C",Live cell imaging,,TetR,YDR225W,Hta1,flo8Δ,YER109C,SGD,/Figure 1/Figure 1C,Reference,Bright-field,rDNA circles in aged cells are sequestered away from chromosomes during anaphase II and are subsequently eliminated.
